state,year,term,start,end
Qld,1986,1,1986-01-28,1986-03-27
SA,1986,1,1986-02-10,1986-05-16
WA,1986,1,1986-02-05,1986-03-27
Tas,1986,1,1986-02-18,1986-05-30
NT,1986,1,1986-01-28,1986-04-11
ACT,1986,1,1986-01-28,1986-05-02
NSW,1986,2,1986-05-19,1986-08-22
Vic,1986,2,1986-05-26,1986-08-22
Qld,1986,2,1986-04-07,1986-06-13
SA,1986,2,1986-06-02,1986-08-29
WA,1986,2,1986-04-07,1986-06-20
Tas,1986,2,1986-06-16,1986-08-29
NT,1986,2,1986-04-21,1986-07-04
ACT,1986,2,1986-05-19,1986-08-22
NSW,1986,3,1986-09-08,1986-12-18
Vic,1986,3,1986-09-08,1986-12-18
Qld,1986,3,1986-06-30,1986-09-19
SA,1986,3,1986-09-15,1986-12-19
WA,1986,3,1986-07-09,1986-09-19
Tas,1986,3,1986-09-15,1986-12-18
NT,1986,3,1986-08-05,1986-10-03
ACT,1986,3,1986-09-08,1986-12-12
NSW,1987,1,1987-02-03,1987-04-15
Vic,1987,1,1987-02-05,1987-04-16
Qld,1987,1,1987-01-27,1987-04-10
SA,1987,1,1987-02-02,1987-04-16
WA,1987,1,1987-02-04,1987-04-10
Tas,1987,1,1987-02-16,1987-05-29
NT,1987,1,1987-01-28,1987-04-10
ACT,1987,1,1987-01-27,1987-05-01
NSW,1987,2,1987-04-27,1987-07-03
Vic,1987,2,1987-04-27,1987-06-26
Qld,1987,2,1987-04-21,1987-06-20
SA,1987,2,1987-04-27,1987-07-03
WA,1987,2,1987-04-22,1987-07-03
Tas,1987,2,1987-06-15,1987-08-28
NT,1987,2,1987-04-21,1987-06-26
ACT,1987,2,1987-05-18,1987-08-21
NSW,1987,3,1987-07-20,1987-09-25
Vic,1987,3,1987-07-13,1987-09-18
Qld,1987,3,1987-07-13,1987-09-18
SA,1987,3,1987-07-20,1987-09-25
WA,1987,3,1987-07-22,1987-09-25
Tas,1987,3,1987-09-17,1987-12-17
NT,1987,3,1987-07-27,1987-10-02
ACT,1987,3,1987-09-07,1987-12-10
NSW,1988,1,1988-02-02,1988-03-31
Vic,1988,1,1988-02-04,1988-03-31
Qld,1988,1,1988-01-25,1988-03-25
SA,1988,1,1988-02-02,1988-04-15
WA,1988,1,1988-02-04,1988-03-31
Tas,1988,1,1988-02-16,1988-05-27
NT,1988,1,1988-01-27,1988-04-08
ACT,1988,1,1988-02-02,1988-03-31
NSW,1988,2,1988-04-11,1988-07-01
Vic,1988,2,1988-04-11,1988-06-24
Qld,1988,2,1988-04-05,1988-06-17
SA,1988,2,1988-04-26,1988-07-01
WA,1988,2,1988-04-11,1988-06-24
Tas,1988,2,1988-06-13,1988-08-26
NT,1988,2,1988-04-18,1988-07-01
ACT,1988,2,1988-04-11,1988-07-01
NSW,1988,3,1988-07-18,1988-09-23
Vic,1988,3,1988-07-11,1988-09-16
Qld,1988,3,1988-07-04,1988-09-09
SA,1988,3,1988-07-18,1988-09-23
WA,1988,3,1988-07-13,1988-09-23
Tas,1988,3,1988-09-12,1988-12-21
NT,1988,3,1988-08-02,1988-09-30
ACT,1988,3,1988-07-18,1988-09-23
NSW,1989,1,1989-01-31,1989-03-23
Vic,1989,1,1989-02-02,1989-03-23
Qld,1989,1,1989-01-23,1989-03-17
SA,1989,1,1989-01-31,1989-04-14
WA,1989,1,1989-02-01,1989-04-14
Tas,1989,1,1989-02-21,1989-05-26
NT,1989,1,1989-01-23,1989-04-07
ACT,1989,1,1989-01-30,1989-03-23
NSW,1989,2,1989-04-03,1989-06-23
Vic,1989,2,1989-04-03,1989-06-23
Qld,1989,2,1989-03-28,1989-06-16
SA,1989,2,1989-04-24,1989-06-30
WA,1989,2,1989-05-01,1989-07-07
Tas,1989,2,1989-06-13,1989-08-25
NT,1989,2,1989-04-17,1989-06-23
ACT,1989,2,1989-04-03,1989-06-23
NSW,1989,3,1989-07-10,1989-09-22
Vic,1989,3,1989-07-10,1989-09-22
Qld,1989,3,1989-07-03,1989-09-08
SA,1989,3,1989-07-17,1989-09-22
WA,1989,3,1989-07-25,1989-09-29
Tas,1989,3,1989-09-11,1989-12-20
NT,1989,3,1989-07-24,1989-09-29
ACT,1989,3,1989-07-10,1989-09-22
NSW,1990,1,1990-01-29,1990-04-12
Vic,1990,1,1990-02-08,1990-04-12
Qld,1990,1,1990-01-30,1990-04-12
SA,1990,1,1990-01-30,1990-04-12
WA,1990,1,1990-01-31,1990-04-12
Tas,1990,1,1990-02-20,1990-05-25
NT,1990,1,1990-01-30,1990-04-06
ACT,1990,1,1990-01-29,1990-04-12
NSW,1990,2,1990-04-23,1990-06-29
Vic,1990,2,1990-04-23,1990-06-29
Qld,1990,2,1990-04-23,1990-06-15
SA,1990,2,1990-04-23,1990-06-29
WA,1990,2,1990-04-30,1990-07-06
Tas,1990,2,1990-06-11,1990-08-31
NT,1990,2,1990-04-17,1990-06-22
ACT,1990,2,1990-04-23,1990-06-29
NSW,1990,3,1990-07-16,1990-09-21
Vic,1990,3,1990-07-16,1990-09-21
Qld,1990,3,1990-07-02,1990-09-14
SA,1990,3,1990-07-16,1990-09-21
WA,1990,3,1990-07-24,1990-09-28
Tas,1990,3,1990-09-17,1990-12-20
NT,1990,3,1990-07-23,1990-09-28
ACT,1990,3,1990-07-16,1990-09-21
NSW,1991,1,1991-01-29,1991-03-28
Vic,1991,1,1991-01-29,1991-04-12
Qld,1991,1,1991-01-29,1991-03-28
SA,1991,1,1991-02-04,1991-04-19
WA,1991,1,1991-01-30,1991-04-12
Tas,1991,1,1991-02-19,1991-05-31
NT,1991,1,1991-01-29,1991-04-05
ACT,1991,1,1991-01-29,1991-03-28
NSW,1991,2,1991-04-08,1991-06-28
Vic,1991,2,1991-04-29,1991-07-05
Qld,1991,2,1991-04-08,1991-06-14
SA,1991,2,1991-04-29,1991-07-05
WA,1991,2,1991-04-29,1991-07-05
Tas,1991,2,1991-06-17,1991-08-30
NT,1991,2,1991-04-15,1991-06-21
ACT,1991,2,1991-04-08,1991-06-28
NSW,1991,3,1991-07-15,1991-09-27
Vic,1991,3,1991-07-22,1991-09-20
Qld,1991,3,1991-07-01,1991-09-13
SA,1991,3,1991-07-22,1991-09-27
WA,1991,3,1991-07-23,1991-09-27
Tas,1991,3,1991-09-16,1991-12-19
NT,1991,3,1991-07-22,1991-09-27
ACT,1991,3,1991-07-15,1991-09-27
NSW,1992,1,1992-01-28,1992-04-10
Vic,1992,1,1992-01-28,1992-04-10
Qld,1992,1,1992-01-28,1992-04-16
SA,1992,1,1992-01-28,1992-04-10
WA,1992,1,1992-01-29,1992-04-10
Tas,1992,1,1992-02-18,1992-05-29
NT,1992,1,1992-01-28,1992-04-03
ACT,1992,1,1992-01-28,1992-04-10
NSW,1992,2,1992-04-27,1992-07-03
Vic,1992,2,1992-04-27,1992-07-03
Qld,1992,2,1992-04-27,1992-06-19
SA,1992,2,1992-04-27,1992-07-03
WA,1992,2,1992-04-28,1992-07-03
Tas,1992,2,1992-06-15,1992-08-28
NT,1992,2,1992-04-13,1992-06-19
ACT,1992,2,1992-04-27,1992-07-03
NSW,1992,3,1992-07-20,1992-09-25
Vic,1992,3,1992-07-20,1992-09-18
Qld,1992,3,1992-07-06,1992-09-18
SA,1992,3,1992-07-20,1992-09-25
WA,1992,3,1992-07-21,1992-09-25
Tas,1992,3,1992-09-14,1992-12-22
NT,1992,3,1992-07-20,1992-09-25
ACT,1992,3,1992-07-20,1992-09-25
NSW,1993,1,1993-02-01,1993-04-08
Vic,1993,1,1993-01-25,1993-04-08
Qld,1993,1,1993-02-01,1993-04-08
SA,1993,1,1993-01-25,1993-04-08
WA,1993,1,1993-02-03,1993-04-08
Tas,1993,1,1993-02-16,1993-05-28
NT,1993,1,1993-01-25,1993-04-02
ACT,1993,1,1993-02-01,1993-04-08
NSW,1993,2,1993-04-19,1993-06-25
Vic,1993,2,1993-04-26,1993-07-02
Qld,1993,2,1993-04-19,1993-06-18
SA,1993,2,1993-04-27,1993-07-02
WA,1993,2,1993-04-27,1993-07-09
Tas,1993,2,1993-06-15,1993-08-27
NT,1993,2,1993-04-13,1993-06-18
ACT,1993,2,1993-04-19,1993-06-25
NSW,1993,3,1993-07-12,1993-09-22
Vic,1993,3,1993-07-19,1993-09-17
Qld,1993,3,1993-07-05,1993-09-17
SA,1993,3,1993-07-19,1993-09-24
WA,1993,3,1993-07-27,1993-10-01
Tas,1993,3,1993-09-13,1993-12-22
NT,1993,3,1993-07-19,1993-09-24
ACT,1993,3,1993-07-12,1993-09-24
NSW,1994,1,1994-01-31,1994-03-31
Vic,1994,1,1994-01-24,1994-03-31
Qld,1994,1,1994-01-31,1994-03-31
SA,1994,1,1994-02-01,1994-04-15
WA,1994,1,1994-02-02,1994-04-15
Tas,1994,1,1994-02-15,1994-05-27
NT,1994,1,1994-01-24,1994-03-31
ACT,1994,1,1994-01-31,1994-03-31
NSW,1994,2,1994-04-11,1994-06-24
Vic,1994,2,1994-04-18,1994-07-01
Qld,1994,2,1994-04-11,1994-06-17
