state,year,term,start,end
ACT,2023,1,2023-01-27,2023-04-06
NSW,2023,2,2023-04-24,2023-06-30
Vic,2023,2,2023-04-24,2023-06-23
Qld,2023,2,2023-04-17,2023-06-23
SA,2023,2,2023-05-01,2023-07-07
WA,2023,2,2023-04-24,2023-06-30
Tas,2023,2,2023-05-01,2023-07-07
NT,2023,2,2023-04-17,2023-06-23
ACT,2023,2,2023-04-24,2023-06-30
NSW,2023,3,2023-07-17,2023-09-22
Vic,2023,3,2023-07-10,2023-09-15
Qld,2023,3,2023-07-10,2023-09-15
SA,2023,3,2023-07-24,2023-09-29
WA,2023,3,2023-07-17,2023-09-22
Tas,2023,3,2023-07-24,2023-09-29
NT,2023,3,2023-07-18,2023-09-22
ACT,2023,3,2023-07-17,2023-09-22
NSW,2023,4,2023-10-09,2023-12-19
Vic,2023,4,2023-10-02,2023-12-20
Qld,2023,4,2023-10-03,2023-12-08
SA,2023,4,2023-10-16,2023-12-15
WA,2023,4,2023-10-09,2023-12-14
Tas,2023,4,2023-10-12,2023-12-18
NT,2023,4,2023-10-09,2023-12-15
ACT,2023,4,2023-10-09,2023-12-15
NSW,2024,1,2024-01-30,2024-04-12
Vic,2024,1,2024-01-29,2024-03-28
Qld,2024,1,2024-01-22,2024-03-28
SA,2024,1,2024-01-29,2024-04-12
WA,2024,1,2024-01-31,2024-03-28
Tas,2024,1,2024-01-29,2024-04-12
NT,2024,1,2024-01-30,2024-04-05
ACT,2024,1,2024-01-30,2024-04-12
NSW,2024,2,2024-04-29,2024-07-05
Vic,2024,2,2024-04-15,2024-06-28
Qld,2024,2,2024-04-15,2024-06-21
SA,2024,2,2024-04-29,2024-07-05
WA,2024,2,2024-04-15,2024-06-28
Tas,2024,2,2024-04-29,2024-07-05
NT,2024,2,2024-04-15,2024-06-21
ACT,2024,2,2024-04-29,2024-07-05
NSW,2024,3,2024-07-22,2024-09-27
Vic,2024,3,2024-07-15,2024-09-20
Qld,2024,3,2024-07-08,2024-09-13
SA,2024,3,2024-07-22,2024-09-27
WA,2024,3,2024-07-15,2024-09-20
Tas,2024,3,2024-07-22,2024-09-27
NT,2024,3,2024-07-16,2024-09-20
ACT,2024,3,2024-07-22,2024-09-27
NSW,2024,4,2024-10-14,2024-12-20
Vic,2024,4,2024-10-07,2024-12-20
Qld,2024,4,2024-09-30,2024-12-13
SA,2024,4,2024-10-14,2024-12-13
WA,2024,4,2024-10-07,2024-12-12
Tas,2024,4,2024-10-14,2024-12-16
NT,2024,4,2024-10-07,2024-12-13
ACT,2024,4,2024-10-14,2024-12-17
